name,username,user-email,user-country,phone-number,password,confirm-password,register-user-btn
Amit Kumar,amit.k_01,amit@mail.com,Germany,9123456780,Strong@123,Strong@123,click
,amit.k_01,amit@mail.com,Germany,,Strong@123,Strong@123,click
Rohit,wrong#user,amit@mail.com,Germany,9123456780,,Strong@123,click
Rohit,,,,9123456780,Strong@123,Strong@123,click
Rohit,rohit.01,amit@mail.com,Germany,9123456780,Strong@123,Strong@123,click
Rohit,,wrongmail,Germany,,Strong@123,Strong@123,click
Rohit,rohit.01,,Select Country,9123456780,,Strong@123,click
Rohit,rohit.01,amit@mail.com,Brazil,98AB456780,Strong@123,Strong@123,click
,rohit.01,amit@mail.com,Brazil,9123456780,weak,weak,click
Rohit,,amit@mail.com,Brazil,9123456780,Strong@123,Wrong@123,click
,' OR '1'='1,amit@mail.com,Brazil,,Strong@123,Strong@123,click
<script>alert(1)</script>,rohit.01,amit@mail.com,Brazil,9123456780,Strong@123,,click
Rohit,rohit.01,,,9123456780,Strong@123,,click
Rohit,rohit.01,amit@mail.com,,9123456780,Strong111@123,Strong@123,click
,rohit.01,amit@mail.com,Brazil,,Strong@123,Strong@123,click
